S_1,F_1,S_2,F_2
0.0,-6.532270617753962e-08,-0.08946916655966008,-2.517138727853308e-06
0.0,-8.652958172206132e-08,0.06822535537145802,-2.8447475415305234e-06
-3.3306690738754696e-16,-1.8176856144691553e-07,-0.018042231055124924,-3.819703306362498e-06
3.3306690738754696e-16,-1.8387905242889257e-08,0.002095331144936763,-1.5435243767569773e-06
2.220446049250313e-16,-3.390814242720808e-08,-0.0455371402298983,-4.655622888094516e-07
0.0,-4.745774049297324e-08,-0.0012480271440509227,-1.7323847714578726e-06
0.0,2.286058702338779e-08,0.049500907923657245,7.072584594425275e-07
-3.3306690738754696e-16,5.203285979860073e-09,0.09892430589158896,4.3488453229656494e-07
0.0,-6.126561729047354e-08,-0.07698082472099865,-2.0374175164761255e-06
1.1102230246251565e-16,-2.9850716742885187e-08,-0.008037131598301661,-8.666297162562843e-07
0.0,-1.7241972827264357e-08,0.0,1.1944898881122155e-08
0.0,-4.53016113510782e-10,0.0,7.819281200305285e-09
0.0,1.5923739482559538e-08,0.0,2.424521916566391e-09
0.0,1.0882057921435262e-07,0.0,1.0830042640463944e-08
0.0,5.1103356213388906e-08,0.0,3.8831642790171346e-09
0.0,1.491198986514064e-08,0.0,1.3985637448143967e-08
0.0,-1.1349021633577628e-08,0.0,-8.192311895527385e-09
0.0,1.9231845271860905e-08,0.0,1.0415414664066708e-08
0.0,1.5749108683849045e-08,0.0,-8.311896948498596e-10
0.0,5.4328884857568514e-08,0.0,-4.238138373580115e-09
0.0,-5.8083253406948664e-08,0.0,-1.464942585016615e-08
0.0,1.3940692156211298e-08,0.0,9.270141987371971e-09
0.0,4.6872497705408033e-08,0.0,2.4563245659692257e-08
0.0,-4.47579850515467e-08,0.0,-2.8689486342159398e-08
0.0,8.888579827726051e-09,0.0,2.6891431303965874e-09
0.0,-1.3527298392546072e-08,0.0,6.769209193180319e-10
0.0,-4.975700278464502e-08,0.0,-9.214071461371983e-09
0.9999999999999998,2.577984332674531e-08,0.0,5.14486053759808e-10
0.0,-3.1106101028299804e-09,0.0,4.820930765703224e-09
0.0,1.7286043174635778e-08,0.0,-6.5239664337468666e-09
0.0,6.678167707718784e-09,0.0,-2.3916427949188788e-09
0.0,6.15405362225374e-09,0.0,5.237930533752433e-09
0.0,-3.970031592359642e-09,0.0,1.2638476132309508e-08
0.0,6.2114123622336605e-09,0.0,-2.5794525626565688e-09
0.0,8.62230464804266e-10,0.0,-5.424501736683864e-10
0.0,1.4839204709460315e-08,0.0,-3.2245033310118743e-09
0.0,-2.294779477551856e-09,1.0,-5.612079334582633e-09
0.0,8.401038797956072e-09,-1.0,-9.132020473145985e-09
0.0,-4.711856504968647e-09,0.0,-6.534789598333646e-09
0.0,8.144191099290765e-09,0.0,6.6121325303925025e-09
0.0,-5.5592362713241475e-09,0.0,-1.7427369769507115e-09
0.0,-2.6485942328236243e-10,1.0,-3.116235092193162e-09
1.0,-5.535374114629124e-09,0.0,2.0025719749128237e-09
0.0,7.354084274879835e-09,-1.1102230246251565e-16,-5.139019876310151e-10
2.220446049250313e-16,-3.1009431467055117e-09,-1.1102230246251565e-16,-5.313387774208423e-09
-3.3306690738754696e-16,2.24682565885814e-09,4.440892098500626e-16,-5.15593496785982e-09
0.0,1.5977481782059043e-09,0.0,1.4827881145151878e-09
0.0,-1.919859082821773e-09,0.0,-1.272371696892094e-09
0.0,5.6823060867738915e-09,0.0,1.278742872701244e-09
0.0,-5.630879706952641e-09,0.0,-1.4891592903243377e-09
0.0,6.754432624322959e-10,0.0,1.531254900655199e-10
0.0,2.803086718294878e-09,0.0,3.166898632223081e-10
0.0,7.641539656599862e-09,0.0,6.785182990465266e-09
0.0,-1.4828833827529318e-09,0.0,-4.970493473754889e-09
0.0,-2.79362664112881e-09,0.0,-1.5243920695184877e-09
0.0,4.5769358081315655e-09,0.0,5.2666871752649055e-09
0.0,2.2479083368054377e-07,0.0,8.752102115816562e-08
0.0,3.077446706356568e-07,0.0,1.249967952254849e-07
0.0,2.8475610065470396e-07,0.0,2.860262299009264e-07
0.0,1.2692819382209566e-07,0.0,5.154109430804965e-07
1.0,1.425137043042922e-07,0.9999999999999998,-2.4501073312421787e-07
-1.1102230246251565e-16,8.785999625615672e-08,4.440892098500626e-16,-1.4569489508176044e-07
1.1102230246251565e-16,-5.419597073341728e-08,-2.220446049250313e-16,-3.083302999584705e-08
0.0,-8.579990549151253e-08,-1.1102230246251565e-16,7.935598773656232e-08
0.0,0.0,0.0,0.0
0.0,1.966478757609025e-10,0.0,0.0
0.0,3.4709346508066016e-12,0.0,1.7320435086176645e-10
1.0,-2.001188104117091e-10,0.0,-7.523569545142551e-11
-1.0,1.148441119980248e-10,0.0,-6.473971914111586e-11
1.0000000000000002,2.2456261461467618e-09,0.0,3.693516104075201e-10
2.220446049250313e-16,-5.211320264209007e-11,0.0,-4.0258054667674516e-10
-4.440892098500626e-16,3.032191886465088e-10,0.0,2.2095916762943092e-11
-1.1102230246251565e-16,9.536429035339465e-10,0.0,1.2067706556262435e-11
1.1102230246251565e-16,-1.239443966905007e-09,0.0,2.784001446043405e-10
0.0,-6.61865692808128e-10,0.0,-9.075817181125603e-11
-3.3306690738754696e-16,1.1448736503272273e-08,0.0,3.7147867282261164e-09
5.551115123125783e-16,1.0139486752436255e-07,0.0,3.2775121078243434e-08
-3.3306690738754696e-16,1.3925684037019434e-07,0.0,3.9599052925609215e-10
3.3306690738754696e-16,1.3616932079685287e-07,0.0,2.8108960492545527e-08
-3.3306690738754696e-16,7.384398656995474e-08,0.0,-1.3809458465630193e-09
5.551115123125783e-16,2.622395811613387e-07,0.0,1.7693383824735068e-08
-4.440892098500626e-16,6.155187179501808e-07,0.0,7.400184500738759e-08
0.0,-4.2053871496250395e-10,0.0,2.715711655554287e-10
0.0,0.0,0.0,-1.8862239548056436e-10
0.0,2.1065687527688226e-10,0.0,8.32068519640572e-10
0.0,-2.1065687527688226e-10,0.0,-8.257293460101067e-10
0.0,1.1418042067390389e-10,0.0,-5.4498780488465577e-11
0.0,5.185484819314468e-10,0.0,3.650102997632132e-11
0.0,-2.1541623762555413e-10,0.0,-4.104147299788252e-11
0.0,-1.3474942828217708e-10,0.0,2.6382972057037433e-10
0.0,1.780222080860482e-11,0.0,3.579163632139175e-11
0.0,-1.0661264648881284e-10,0.0,6.240141389723952e-11
0.0,6.622911941089879e-11,0.0,1.1510389773261575e-09
0.0,2.974362235674821e-10,0.0,1.8350124031396575e-09
0.0,1.510984420222128e-09,0.0,1.0872402700368156e-09
0.0,4.343197321232672e-09,0.0,4.317348456517322e-09
0.0,1.1343102679362015e-09,0.0,1.958072592955773e-09
0.0,2.079275107647048e-09,0.0,9.65528839103058e-09
0.0,2.7474906794111575e-09,0.0,1.1499857066610282e-09
0.0,3.75521604922824e-09,0.9999999999999998,4.684919296948919e-09
0.0,-6.445678768507435e-10,0.0,1.226436252554919e-09
0.0,3.621729915970207e-10,0.0,2.1650485293456232e-10
0.0,1.9610038426431943e-09,0.0,1.9193515038429257e-08
0.0,8.443368987309795e-09,0.0,-1.5641274941913252e-09
0.0,1.772976614411448e-08,0.0,-8.564013009859651e-09
0.0,3.699268757983987e-08,0.0,5.510828771093656e-09
0.0,-6.342048308738414e-09,0.0,2.4903668993658813e-08
0.0,2.2375344244096602e-08,0.0,3.2605094801851915e-08
0.0,3.1798834498886206e-08,0.0,1.2213276718853193e-07
0.0,-3.964876569284571e-08,0.0,1.0323905854647817e-07
0.0,9.129387237294396e-08,0.0,4.277976714206488e-07
0.0,4.307213075094296e-08,0.0,1.3055631882252787e-07
0.0,1.0341189238260995e-08,0.0,1.2931262176607557e-07
0.0,4.110646187882596e-08,0.0,4.99155493116632e-07
0.9999999999999997,2.5820686744282242e-08,1.0,-4.6534517537111233e-07
1.1102230246251565e-16,5.6397487924186894e-08,-1.1102230246251565e-16,-1.542395466458402e-07
2.220446049250313e-16,2.4653223817949744e-08,-2.220446049250313e-16,1.1374977475497867e-07
-1.1102230246251565e-16,1.0210840173385805e-07,7.771561172376096e-16,2.0681799810517983e-07
0.0,1.3438611290439429e-08,0.0,3.831589774350164e-08
0.0,5.235493460986618e-08,0.0,1.0349302925760642e-08
0.0,5.782033838386266e-08,0.0,-2.719744678358894e-08
0.0,-3.1350833751275744e-08,0.0,-2.0280045376352963e-08
0.0,-4.5270547843756525e-08,0.0,1.6213800080322418e-09
0.0,-4.111606131118608e-08,0.0,1.219672114416426e-08
1.0000000000000002,-1.0446383669204806e-07,0.0,-9.580950077747727e-09
0.0,-3.212263095520028e-08,0.0,-2.1039083009100076e-08
-6.661338147750939e-16,-1.7313087141701534e-08,0.0,-1.225622625611321e-09
4.440892098500626e-16,-1.8895306652666265e-09,0.0,-6.722679302129109e-09
2.220446049250313e-16,-1.1962082169247921e-08,0.0,-1.7145967490250768e-08
-5.551115123125783e-16,2.480664704762605e-08,0.0,-2.6527926522135203e-09
3.3306690738754696e-16,1.404812053351636e-08,0.0,-9.348265894715268e-09
0.0,-4.7314416917743095e-08,0.0,-5.255155910433018e-09
-2.220446049250313e-16,-1.521456738373672e-08,0.0,-6.924188999946068e-10
2.220446049250313e-16,3.090773219582844e-08,0.0,1.484461820133731e-09
0.0,-5.519744661341974e-09,0.9999999999999998,-2.1889735579705416e-09
-1.1102230246251565e-16,2.33444026775942e-08,-1.1102230246251565e-16,-1.0553668605695067e-09
1.0000000000000002,1.1834254687315134e-08,0.0,1.3762808781514481e-09
-6.661338147750939e-16,5.894023700214746e-08,0.0,5.106807954291525e-09
4.440892098500626e-16,-4.545504594943853e-09,0.0,1.7523707929179018e-09
-1.1102230246251565e-16,-2.6744261738542716e-08,0.0,5.081541876172933e-09
1.1102230246251565e-16,3.46642021753496e-08,0.0,1.0574552433695318e-08
-2.220446049250313e-16,5.5374356833226546e-08,0.0,2.0154407742722925e-08
4.440892098500626e-16,1.8153535208398355e-07,0.0,8.476250226152616e-08
-3.3306690738754696e-16,5.7529142338808015e-08,0.0,1.692080360271574e-08
0.0,2.3349089417479263e-07,0.0,6.891939250408543e-08
1.1102230246251565e-16,1.6824201907184035e-07,0.0,3.066007678853563e-08
2.220446049250313e-16,2.2592043364966234e-07,0.0,-4.5724003427949345e-08
0.0,4.905949822386901e-07,0.0,3.7618228532210196e-08
0.0,8.707106189831392e-07,0.0,9.972765724342237e-10
2.220446049250313e-16,6.42381314719387e-07,0.0,-3.3080738148782984e-08
-4.440892098500626e-16,1.136868331741425e-06,0.0,1.2079488129757007e-07
-2.220446049250313e-16,1.9614960592662106e-06,1.0000000000000002,1.427386223440408e-07
4.440892098500626e-16,1.1077626822952873e-06,-2.220446049250313e-16,2.137417368430761e-07
-4.440892098500626e-16,3.0088303901720826e-07,-1.1102230246251565e-16,2.795276259348607e-08
0.0,3.5707445444899124e-09,0.9999999999999999,-1.247585368346904e-08
0.0,2.856216929636446e-09,-2.220446049250313e-16,1.0075034264644955e-07
0.0,4.6239003737014206e-10,3.3306690738754696e-16,2.3441814889224604e-08
0.0,1.49919512359986e-09,0.0,2.549142855912123e-07
0.0,4.530196573426794e-09,-3.3306690738754696e-16,4.816918320216245e-07
0.0,1.057096348233699e-08,5.551115123125783e-16,3.1911892506286677e-07
0.0,-3.9046256894437186e-09,2.220446049250313e-16,3.092994234066282e-07
0.0,1.3423954925428914e-08,-2.220446049250313e-16,2.892180077651574e-07
0.0,2.8558727116489993e-08,-2.220446049250313e-16,-1.4381032542587533e-08
0.0,1.7676723764736833e-07,2.220446049250313e-16,-1.9199300140826368e-07
0.0,3.740684491049255e-08,-3.3306690738754696e-16,-3.0339156182890296e-07
0.0,1.571478151163319e-07,3.3306690738754696e-16,4.4800722207583013e-07
0.0,2.2044547165478434e-07,0.0,6.208332251844694e-07
0.0,2.0410618617461296e-07,-2.220446049250313e-16,-3.3738353977241786e-07
1.0000000000000002,9.563586900185328e-08,4.440892098500626e-16,7.841279057174688e-07
0.0,1.0184870689045047e-07,-4.440892098500626e-16,6.503323220385939e-07
0.0,7.524972943429022e-07,2.220446049250313e-16,1.528753318780218e-06
-4.440892098500626e-16,-5.409092977970427e-08,0.0,1.5857631296967156e-06
-0.07825500528781193,9.153846463050287e-08,0.0,-2.4771107387521976e-11
-0.06564164675857853,-6.34153337841781e-08,0.0,-3.7146829834355804e-09
0.005451665582349774,8.594026894570562e-08,0.0,-1.5862111735209796e-09
0.05312742030618689,-1.1947491032060496e-07,0.9999999999999998,4.82394346690288e-11
0.06814345329506555,3.8160320059432664e-08,-0.9999999999999998,1.6571894967398682e-10
-0.08217326729566077,-2.7157219051332483e-08,1.0000000000000002,1.7805555696526203e-09
0.02814897521831683,1.4201069120645094e-08,-2.220446049250313e-16,4.207867454475434e-09
-0.15165689814531036,6.233935323507467e-08,-1.1102230246251565e-16,1.6338574937435624e-10
0.18861642956798552,6.856049594716772e-09,0.0,7.281754621502045e-09
-0.045763623468429326,1.0256617883896983e-07,3.3306690738754696e-16,-3.7307170686062686e-10
0.01765269575093864,2.0722825979646584e-07,-2.220446049250313e-16,-3.7151117737721523e-09
-0.033966842308924994,1.9296552409286962e-07,-2.220446049250313e-16,2.02780263691693e-09
-0.03789184832119452,2.801419668685411e-07,0.0,1.7874242530524504e-09
0.09286343887601722,8.35001628729516e-08,1.1102230246251565e-16,-2.173518698356247e-09
-0.08026827676300918,4.2123796220039354e-07,-1.1102230246251565e-16,-4.758549998484792e-10
0.035198401194694195,5.437501158667148e-07,-2.220446049250313e-16,2.7247771150484813e-09
0.09452066966905925,1.866763227553748e-07,6.661338147750939e-16,-2.4037586143776915e-09
-0.08470946174256633,-1.203798774440658e-07,-5.551115123125783e-16,1.9589962541033394e-09
0.010855887363905303,-2.870221351258804e-07,0.0,2.6689901488907703e-08
0.044854635554300026,2.3060630383042735e-06,0.0,4.128621018395508e-08
-0.023969746010572113,1.8098823147738589e-06,1.0000000000000002,1.372691301071427e-07
-0.019748974828400767,1.4919507066224472e-06,-2.220446049250313e-16,1.0923271815954648e-07
0.00733454734063077,8.163199709088066e-07,-1.1102230246251565e-16,1.6675791414400004e-07
-0.11307324759861204,-6.339694664347907e-07,0.0,6.930100653335109e-08
0.178736578286383,-1.1412391359044715e-06,0.0,2.1727311150243622e-07
-0.031367795885758554,-1.443393875888432e-06,1.1102230246251565e-16,-2.5015617666213096e-08
-0.03521302042013397,-8.598573913332077e-07,-1.1102230246251565e-16,9.083731242753858e-08
0.003275720055391007,-1.2487010735640066e-06,0.0,-9.464417871640805e-09
-0.017575598895502198,-6.809697879361922e-07,3.3306690738754696e-16,2.630744120324382e-08
0.03209413923242632,-2.4615333131805545e-07,2.220446049250313e-16,-4.004425591119777e-09
-0.02082289634125445,-1.617515863472363e-07,-5.551115123125783e-16,-1.0834573913598435e-07
0.005766353734357521,1.1121019269921851e-07,1.1102230246251565e-16,2.8015591624352965e-08
0.02935019182917653,-9.84915118351637e-07,2.220446049250313e-16,2.0352501906018006e-09
0.03312242530348186,-9.161460639006708e-08,0.0,9.751080938258387e-08
0.02044710149966411,-8.402137609664349e-07,-3.3306690738754696e-16,-3.4469110232748366e-09
-0.11005728508654888,-5.554376912186855e-07,0.0,-1.1962263215536959e-07
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,5.96046212386625e-11,0.0,1.906391672301666e-09
0.0,-5.96046212386625e-11,1.0,-1.906391672301666e-09
0.0,5.206266706636598e-09,-1.0,7.962525216953509e-09
0.0,-5.206266706636598e-09,1.0,-1.800946147767491e-09
0.0,1.3098742174255661e-09,2.220446049250313e-16,9.469667716643926e-09
0.0,-7.823253100891491e-10,0.0,-1.4647369139808575e-08
0.0,-5.27548907336417e-10,0.0,-9.838776460213694e-10
0.0,2.6787647308679217e-10,-2.220446049250313e-16,4.8754838721798425e-09
0.0,4.092523157167571e-09,2.220446049250313e-16,-1.3602932495693225e-09
0.0,1.2084062783745963e-08,-2.220446049250313e-16,-1.978125364898718e-10
0.0,2.1016497608883355e-08,0.0,1.8453611608237885e-08
0.0,5.288554003612944e-08,-3.3306690738754696e-16,6.112726354534636e-08
0.0,9.348016973831364e-08,3.3306690738754696e-16,1.895009948071902e-07
0.0,9.455692975279817e-08,0.0,4.656249643630872e-07
0.0,6.405506240980686e-08,2.220446049250313e-16,1.3255303741743775e-06
0.0,4.836588800571913e-08,-3.3306690738754696e-16,1.0562588272478022e-06
0.0,9.570887948839868e-09,0.0,-2.5269713876951996e-09
0.0,1.3026382195135966e-08,0.0,2.332816044781083e-08
0.0,1.3775612472954887e-08,0.0,3.497531988472247e-08
0.0,1.724667963998172e-08,0.0,4.620647047204329e-08
0.0,-1.311635156042712e-08,0.0,8.175464998316783e-08
0.0,2.570100736676295e-08,0.0,-2.5521769941860844e-08
0.0,7.076306118847242e-08,0.0,1.7795014173316306e-07
0.0,2.087525459160135e-08,0.0,1.9212476303209765e-07
0.0,2.5756811794508394e-08,1.0,4.785158580489224e-08
0.0,2.363524771453739e-08,-1.0,4.7418249096153884e-07
0.0,-4.23060015464216e-08,0.0,-3.307472411506747e-08
0.0,-2.5450520979575247e-08,0.0,-6.337789386634536e-08
0.0,-1.045808630806278e-08,0.0,-1.3600571264760224e-07
0.0,5.401942360094841e-09,1.0000000000000002,2.578602277480969e-07
0.0,6.447415046295646e-08,0.0,-5.100237103761191e-08
0.0,4.7053909213445903e-08,-3.3306690738754696e-16,-6.763954729649413e-08
0.0,-3.607740808320162e-08,1.1102230246251565e-16,-6.660475833086814e-08
0.0,-2.4083725236323517e-08,0.0,6.567554464709249e-08
